epoch,train_loss,val_loss,train_ppl,val_ppl,train_bleu,val_bleu,train_chrf,val_chrf,lr
2,4.93451578216148,4.104476549765078,139.00581713699947,60.61100939533732,5.320185434251997,4.982757108219955,30.67876731114621,28.980500943545263,2.256e-05
1,5.644209882443546,5.378254896202896,282.6501411334681,216.64387929433963,3.6639414558589256,4.152180480408793,26.85081434349417,27.558887709760597,1.128e-05
3,3.9061692744482612,3.4443629992089364,49.70816843606771,31.323324108051477,4.691126954860168,5.796156375318647,30.38835209676567,30.241883087149922,2.9996188298094607e-05
2,4.934481023631881,4.104570563452872,139.00098558315946,60.6167079277173,5.320452937261315,4.982353254558717,30.668742726988913,28.98385512400773,2.256e-05
4,3.5353371198600114,3.26527366597948,34.30657819381819,26.187276576984015,7.699411266749474,6.501044059060533,31.76311526598238,31.33804867133596,2.9940940025172172e-05
3,3.9062728689561848,3.4444476489836036,49.71331819605545,31.325975732607176,4.520102182428335,5.856925808575021,30.408507294172843,30.297809628116823,2.9996188298094607e-05
5,3.439512604543749,3.2161603161856362,31.17176149030068,24.9322043744012,6.9789747822195505,6.856425831955004,33.501404644021235,31.806222793179355,2.9820190288368713e-05
4,3.5354413955909427,3.2652901464665836,34.310155723856646,26.187708159614253,7.8139777903574705,6.94662090301201,31.957917305205058,31.979532944284145,2.9940940025172172e-05
5,3.439590299934879,3.216315757143542,31.174183486589637,24.93608016135207,7.006873915614162,7.2748046318624855,33.60194636470231,32.47581663351484,2.9820190288368713e-05
6,3.409297607930073,3.1969178492664687,30.243993655839258,24.457033646806806,4.61610899125461,6.944948847061957,29.630496673024137,31.827655229115866,2.9634468457624174e-05
6,3.4093524715284333,3.196817468117749,30.245652995678267,24.454578744890057,5.734749038818862,7.352277253000688,31.409449088368323,32.5931521031137,2.9634468457624174e-05
7,3.397096350597034,3.187747207306549,29.877221000371552,24.233772237753904,7.811845151001689,7.113083823094665,33.152980162946314,31.94525498302791,2.9384588742203032e-05
7,3.397141672730916,3.187822867724614,29.87857513046755,24.235605844457552,8.022947056138587,7.390388912593916,33.25810235910413,32.6838166330555,2.9384588742203032e-05
8,3.3900272379096634,3.182203770735449,29.666760319901613,24.099805519540745,7.756492220979329,7.097087608397527,31.500673794579964,31.900450237198406,2.9071646621180008e-05
8,3.3900500696367675,3.182227367796529,29.667437671009814,24.100374210833298,6.923668699965361,7.385156573940224,31.875062829491064,32.666611880230185,2.9071646621180008e-05
9,3.3859672677718713,3.1785761907901047,29.546558332268905,24.012539925507195,7.656815919623743,7.159903388233472,33.351890940218325,31.928710359192685,2.8697014040831743e-05
9,3.3859495477824626,3.178613646442612,29.546034772206944,24.013439347702576,8.44007789975482,7.419320680473667,34.88790946530021,32.66783297617364,2.8697014040831743e-05
10,3.38348576708518,3.176386158787995,29.47332942384897,23.96000923755807,7.841132666600694,7.378618626676178,33.67958464147594,32.64275995764721,2.8262333399989164e-05
10,3.3834898562933,3.1762981380046025,29.473449946673387,23.957900351589142,7.7972752734406745,7.0674085108941975,33.73577685338348,31.80799870483579,2.8262333399989164e-05
11,3.3816572574145782,3.1751542423770256,29.419486397221846,23.930510682578955,7.8056469070156504,7.425826290394736,31.8016166838412,32.66185574203744,2.776951034971893e-05
11,3.3816037563856205,3.1750471192108543,29.41791246653202,23.927947307807404,7.729870763142783,7.125944970521953,31.854227956975382,31.945372377909177,2.776951034971893e-05
12,3.3802517314373963,3.174077766923962,29.37816559039135,23.90476393560672,5.28592570333689,7.44260438189013,28.686907989919934,32.68490882005917,2.7220705438900353e-05
12,3.3802036832829225,3.173930940766133,29.37675405766395,23.90125434862013,5.615642064408538,7.153473031367521,28.203657003477034,31.955684286372666,2.7220705438900353e-05
13,3.380014912006892,3.173206548446639,29.371209093696272,23.883946733052458,6.294361899427775,7.4645560722842275,31.505551926913096,32.73743427330683,2.6618324642323703e-05
14,3.379211956868989,3.1725465798494583,29.347634796266295,23.868189278516425,7.69072491820132,7.4142236247524655,32.61842096522919,32.67728978341644,2.5965008812835135e-05
13,3.3799747013850174,3.173073955436763,29.37002808285816,23.880780098608835,5.967307104945633,7.17977739241394,30.743516231024316,32.016217668467064,2.6618324642323703e-05
15,3.3788703887371807,3.1722694080209033,29.33761229125754,23.861574605592644,8.510842617559486,7.415912837359185,33.17284415469542,32.70588842418731,2.526362210377011e-05
14,3.379138010204299,3.172424474422284,29.345464716792627,23.865275020995647,7.5143617113555035,7.150260666884218,32.56895583287411,31.992430251145056,2.5965008812835135e-05
16,3.3784005468681846,3.17210160669767,29.323831490318877,23.85757093771917,7.355093335137613,7.476951413584655,31.922899621562316,32.74696334694156,2.4517239412431824e-05
15,3.37883051878139,3.172203111515965,29.336442625269903,23.85999271903132,7.590625483645852,7.185017598994742,32.43333168797455,31.93712248874339,2.526362210377011e-05
17,3.378526916834297,3.17190084440023,29.327537376061986,23.852781717729872,9.31406196322313,7.45604634323221,33.61164051067441,32.740652917421734,2.3729132899662608e-05
16,3.378353861336474,3.171966766348643,29.322462523609673,23.854354191405466,6.914262972953874,7.201124701325101,30.97166886741106,32.011990170472686,2.4517239412431824e-05
18,3.378126392896721,3.17179821591236,29.315793347352027,23.850333868422368,8.872380597952336,7.482230654145713,33.48154248677037,32.73789392780509,2.290275764460699e-05
19,3.3781760505533964,3.1717263010595453,29.317249137098496,23.848618736845097,8.4979975904386,7.500079748750475,32.68658658901979,32.769964562215215,2.2041736497556184e-05
17,3.3784867060890997,3.1717330430769968,29.326358117638886,23.84877952519083,9.268523859261439,7.1707078455120445,32.53096508849187,31.96560597493426,2.3729132899662608e-05
20,3.377751553775004,3.1717098205724423,29.304806700362466,23.848225703230284,7.406055482831294,7.454089864251207,33.93427206356354,32.73802759184896,2.114984419727959e-05
18,3.378082774357206,3.1718308023300414,29.314514663148866,23.85111107802682,8.946407799857026,7.196195042935523,33.51079783371691,31.99499940934856,2.290275764460699e-05
21,3.3780302189999163,3.1717158134768435,29.312974068840568,23.848368623795313,10.833964615046844,7.470540244120194,37.01140176828092,32.70974523751647,2.0230990822473324e-05
19,3.3781426554334115,3.1716315382587017,29.316270100393552,23.84635888201412,8.432542418386088,7.2617324408348605,31.353584501413213,32.0231109897483,2.2041736497556184e-05
22,3.377868679839893,3.171686972624413,29.30823925807068,23.8476808264335,8.050195439178145,7.467072303827785,33.310588533903136,32.73827553932029,1.928920464987502e-05
